City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Salt Lake City,USA,2021,BS,WC,boulder,Men,9,Mejdi,Schalck,FRA,2004,4T5z 8 8,8,2T4z 3 9,9,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,10,Nathaniel,Coleman,USA,1997,4T5z 9 9,11,2T4z 3 9,10,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,11,Aleksey,Rubtsov,RUS,1988,3T5z 3 13,19,2T4z 3 10,11,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,12,Simon,Lorenzi,BEL,1997,4T5z 5 6,6,2T4z 3 11,12,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,13,Sohta,Amagasa,JPN,2000,5T5z 13 7,5,2T4z 4 6,13,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,14,Alexander,Megos,GER,1993,4T5z 8 9,10,2T4z 4 9,14,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,15,Nicolai,Uznik,AUT,2000,5T5z 12 9,4,2T4z 7 11,15,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,16,Anze,Peharc,SLO,1997,5T5z 9 7,3,2T3z 2 4,16,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,17,Nicolas,Collin,BEL,1998,4T5z 8 8,8,2T3z 5 6,17,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,18,Rei,Sugimoto,JPN,1991,4T5z 14 13,14,1T4z 1 10,18,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,19,Sean,McColl,CAN,1987,4T4z 11 8,17,1T4z 3 16,19,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,20,Yannick,Flohé,GER,1999,4T4z 7 6,15,1T4z 3 17,20,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,21,Filip,Schenk,ITA,2000,3T5z 7 8,21,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,22,Jan,Hojer,GER,1992,3T5z 7 9,22,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,23,Christoph,Schweiger,GER,2001,3T5z 7 15,23,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,24,Gregor,Vezonik,SLO,1995,3T5z 8 11,24,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,25,Elias,Arriagada Krüger,GER,2000,3T5z 10 14,25,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,26,Yuval,Shemla,ISR,1998,3T5z 13 13,26,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,27,Mickael,Mawem,FRA,1990,3T4z 4 5,27,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,28,Ross,Fulkerson,USA,2001,3T4z 4 10,28,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,29,Alex,Khazanov,ISR,1995,3T4z 6 9,29,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,29,Zander,Waller,USA,2003,3T4z 6 9,29,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,31,Nathan,Phillips,GBR,1994,3T4z 9 10,31,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,32,Tomoaki,Takata,JPN,1995,3T4z 10 7,32,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,33,William,Ridal,GBR,1997,3T3z 4 4,33,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,34,Kai,Harada,JPN,1999,2T5z 5 13,34,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,35,Michael,Piccolruaz,ITA,1995,2T5z 5 15,35,,,,,,,,
