discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Men;24;Yannick;Flohé;GER;1999;3T4z 7 7;24;;;;
boulder;Men;25;Sergii;Topishko;UKR;1988;3T4z 7 8;25;;;;
boulder;Men;25;William;Ridal;GBR;1997;3T4z 7 8;25;;;;
boulder;Men;27;Sascha;Lehmann;SUI;1998;3T4z 8 9;27;;;;
boulder;Men;28;Nathan;Phillips;GBR;1994;3T4z 8 10;28;;;;
boulder;Men;29;Jernej;Kruder;SLO;1990;3T4z 9 6;29;;;;
boulder;Men;30;Nimrod;Marcus;ISR;1999;3T4z 9 8;30;;;;
boulder;Men;31;Ross;Fulkerson;USA;2001;3T4z 16 13;31;;;;
boulder;Men;32;Stefan;Fellner;USA;2001;3T4z 16 16;32;;;;
boulder;Men;33;Sean;McColl;CAN;1987;3T3z 9 6;33;;;;
boulder;Men;34;Alex;Waterhouse;GBR;1997;3T3z 15 12;34;;;;
boulder;Men;35;Manuel;Cornu;FRA;1993;2T5z 8 17;35;;;;
boulder;Men;36;Nils;Favre;SUI;1991;2T4z 5 11;36;;;;
boulder;Men;37;Elias;Arriagada Krüger;GER;2000;2T4z 12 14;37;;;;
boulder;Men;38;Quinn;O'Francia;USA;2004;2T4z 16 20;38;;;;
boulder;Men;39;Nicolas;Collin;BEL;1998;2T3z 6 13;39;;;;
boulder;Men;40;Julien;Clémence;SUI;2001;2T3z 19 21;40;;;;
boulder;Men;41;Yuval;Shemla;ISR;1998;2T2z 6 5;41;;;;
boulder;Men;42;Maximillian;Milne;GBR;2000;1T4z 4 9;42;;;;
boulder;Men;43;Palmer;Larsen;USA;1995;1T3z 1 7;43;;;;
boulder;Men;44;Oscar;Baudrand;CAN;2005;1T3z 3 7;44;;;;
boulder;Men;45;Ram;Levin;ISR;1998;1T3z 4 7;45;;;;
boulder;Men;46;Zander;Waller;USA;2003;1T3z 5 7;46;;;;
boulder;Men;47;Alex;Khazanov;ISR;1995;1T3z 5 9;47;;;;
boulder;Men;48;Filip;Schenk;ITA;2000;1T2z 5 6;48;;;;
boulder;Men;49;Charles;Barron;USA;1998;0T4z 0 10;49;;;;
boulder;Men;50;Benjamin;Hanna;USA;1998;0T3z 0 9;50;;;;
boulder;Men;51;Christopher;Cosser;RSA;2000;0T2z 0 7;51;;;;
boulder;Men;52;Ludovico;Fossali;ITA;1997;0T2z 0 10;52;;;;
