discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Women;33;Eva Maria;Hammelmüller;AUT;2000;29+;42;30+;20;32.34;33;;;;;;;;
lead;Women;33;Sol;SA;KOR;1994;29+;42;30+;20;32.34;33;;;;;;;;
lead;Women;36;Julia;Chanourdie;FRA;1996;34;27;24+;40;33.27;36;;;;;;;;
lead;Women;37;Käthe;Atkins;GER;2001;30+;36;28+;28;33.7;37;;;;;;;;
lead;Women;38;Ilaria;Scolaris;ITA;1998;36+;21;18;55;36.36;38;;;;;;;;
lead;Women;39;YUETONG;Zhang;CHN;2003;33+;28;18+;47;38.92;39;;;;;;;;
lead;Women;40;Noa;Shiran;ISR;2001;29+;42;26+;35;39.75;40;;;;;;;;
lead;Women;41;Roxana;Wienand;GER;2000;25+;56;28+;28;40.64;41;;;;;;;;
lead;Women;42;Nolwenn;Arc;FRA;2000;32+;33;18+;47;41.44;42;;;;;;;;
lead;Women;43;Lana;Skusek;SLO;2000;33+;28;18;55;42.95;43;;;;;;;;
lead;Women;44;Louna;Deshayes;FRA;2005;28+;48;25+;37;43.08;44;;;;;;;;
lead;Women;45;Babette;Roy;CAN;2002;27+;52;26+;35;43.17;45;;;;;;;;
lead;Women;46;Kyra;Condie;USA;1996;22+;60;27;34;45.17;46;;;;;;;;
lead;Women;47;Maya;Dreamer;ISR;2001;26;54;25+;37;45.21;47;;;;;;;;
lead;Women;48;Valeri;Kremer;ISR;1991;32+;33;18;55;45.73;48;;;;;;;;
lead;Women;49;INA;PLASSOUX DJIGA;FRA;1999;28+;48;19;44;47.2;49;;;;;;;;
lead;Women;50;Valentina;Aguado;ARG;2001;23+;58;25;39;47.77;50;;;;;;;;
lead;Women;51;Rebecca;Frangos;CAN;1997;27+;52;19;44;48.61;51;;;;;;;;
lead;Women;52;Yejoo;SEO;KOR;2006;30+;36;18;55;48.66;52;;;;;;;;
lead;Women;52;Martina;Demmel;GER;2001;30+;36;18;55;48.66;52;;;;;;;;
lead;Women;52;Indiana;Chapman;CAN;2003;30+;36;18;55;48.66;52;;;;;;;;
lead;Women;52;Momoko;ABE;JPN;2003;30+;36;18;55;48.66;52;;;;;;;;
lead;Women;56;Mattea;Pötzi;AUT;2000;28+;48;18+;47;50.0;56;;;;;;;;
lead;Women;56;valentine;Mangin ;FRA;2001;28+;48;18+;47;50.0;56;;;;;;;;
