discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
boulder;Men;83;Eduardas;Jeriomenko;LTU;1995;0T2z 0 3;83;;;;
boulder;Men;84;Tomas;Plevko;SVK;1999;0T2z 0 4;84;;;;
boulder;Men;84;Rosen;Ruev;BUL;1998;0T2z 0 4;84;;;;
boulder;Men;86;Jakub;Jodlowski;POL;1987;0T2z 0 5;86;;;;
boulder;Men;87;Ádám;Bakurecz;HUN;2001;0T2z 0 6;87;;;;
boulder;Men;87;Joris;Leipus;LTU;1999;0T2z 0 6;87;;;;
boulder;Men;87;Matteo;Manzoni;ITA;2000;0T2z 0 6;87;;;;
boulder;Men;90;Marek;Jeliga;CZE;2003;0T2z 0 7;90;;;;
boulder;Men;91;Leonid;Osadchyi;UKR;2001;0T2z 0 11;91;;;;
boulder;Men;91;Matthaios;VALSAMIDIS;GRE;1999;0T2z 0 8;91;;;;
boulder;Men;93;Stephan;Rest;AUT;2001;0T1z 0 1;93;;;;
boulder;Men;93;Filip;Donchev;BUL;1998;0T1z 0 3;93;;;;
boulder;Men;93;Peteris;Meirans;LAT;1991;0T1z 0 1;93;;;;
boulder;Men;96;Lluc;Macià Llobet;ESP;2004;0T1z 0 5;96;;;;
boulder;Men;97;Andoni;Esparta Frade;ESP;2001;0T1z 0 12;97;;;;
boulder;Men;97;Pjahns;Romans;LAT;1991;0T0z 0 0;97;;;;
boulder;Men;97;Theofanis-Ermis;THEOCHAROPOULOS;GRE;2000;0T0z 0 0;97;;;;
boulder;Men;100;Jim;Zeimes;LUX;2004;0T0z 0 0;100;;;;
boulder;Men;100;Roman;Batsenko;UKR;1995;0T0z 0 0;100;;;;
boulder;Women;1;Janja;Garnbret;SLO;1999;5T5z 5 5;1;4T4z 5 5;1;4T4z 7 6;1
boulder;Women;2;Oriane;Bertone;FRA;2005;5T5z 8 7;3;3T3z 5 4;2;2T4z 8 10;2
boulder;Women;3;Natalia;Grossman;USA;2001;5T5z 12 6;3;2T4z 10 17;4;2T4z 10 10;3
boulder;Women;4;Akiyo;Noguchi;JPN;1989;5T5z 6 6;1;3T3z 7 7;3;0T3z 0 7;4
boulder;Women;5;Vita;Lukan;SLO;2000;5T5z 15 12;15;2T3z 4 7;5;0T2z 0 3;5
