discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
lead;Women;61;Laura;Loikas;FIN;2002;19;64;22+;47;56.87;61;;;;
lead;Women;62;Tereza;Siruckova;CZE;2003;15+;71;22+;47;58.98;62;;;;
lead;Women;63;Katherine;Choong;SUI;1992;19;64;22;52;59.42;63;;;;
lead;Women;64;Martina;Demmel;GER;2001;20+;50;12+;60;59.65;64;;;;
lead;Women;65;Aleksandra;Kalucka;POL;2001;19;64;20;59;62.4;65;;;;
lead;Women;66;Katrin;Amann;SWE;1995;20+;50;12;74;62.92;66;;;;
lead;Women;67;Rut;Monsech Gasca;ESP;2002;19+;59;12+;60;63.69;67;;;;
lead;Women;67;Bianka;Janecka;POL;2003;19+;59;12+;60;63.69;67;;;;
lead;Women;69;Elizabeth;Sepulveda;PUR;2002;19;64;12+;60;66.25;69;;;;
lead;Women;70;Edel;Lemvik;NOR;2004;18+;69;12+;60;67.74;70;;;;
lead;Women;71;Vanda;Michalkova;SVK;2002;17;70;12+;60;68.23;71;;;;
lead;Women;72;Alexandra;Gullberg;SWE;2001;14+;72;12+;60;69.2;72;;;;
lead;Women;73;Evdoxia-Aikaterini;KALLIA;GRE;2002;12+;73;12+;60;69.91;73;;;;
lead;Women;74;Anastasija;Teriochina;LTU;1987;12;75;12+;60;70.62;74;;;;
lead;Women;75;Arta;Matelsone;LAT;1997;12+;73;11;75;74.25;75;;;;
boulder;Men;1;Yoshiyuki;Ogata;JPN;1998;;;;;5T5z 8 6;1;3T4z 5 4;3;2T2z 7 7;1
boulder;Men;2;Tomoa;Narasaki;JPN;1996;;;;;3T5z 6 7;3;3T4z 4 6;2;1T3z 2 11;2
boulder;Men;3;Kokoro;Fujii;JPN;1992;;;;;5T5z 11 8;3;4T4z 8 4;1;1T1z 2 2;3
boulder;Men;4;Nicolai;Uznik;AUT;2000;;;;;2T5z 4 7;9;3T4z 8 11;5;1T1z 2 2;4
