City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification 1 score,Qualification 1 rank,Qualification 2 score,Qualification 2 rank,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,Final score,Final rank
Innsbruck,AUT,2021,BL,WC,lead,Men,19,Paul,Jenft,FRA,2003,24+,32,34+,8,19.86,18,26,19,,
Innsbruck,AUT,2021,BL,WC,lead,Men,20,Satone,YOSHIDA,JPN,2004,33,11,31+,14,13.13,12,25+,20,,
Innsbruck,AUT,2021,BL,WC,lead,Men,21,Colin,Duffy,USA,2003,35+,6,35+,5,5.7,6,25,21,,
Innsbruck,AUT,2021,BL,WC,lead,Men,22,Christoph,Hanke,GER,1994,32+,13,18+,42,27.87,23,25,22,,
Innsbruck,AUT,2021,BL,WC,lead,Men,23,Dylan,Chuat,SUI,2000,24+,32,29+,19,29.17,24,25,23,,
Innsbruck,AUT,2021,BL,WC,lead,Men,24,Kai,Harada,JPN,1999,31,18,29+,19,19.74,17,24,24,,
Innsbruck,AUT,2021,BL,WC,lead,Men,25,Marcello,Bombardi,ITA,1993,24+,32,34+,8,19.86,18,21+,25,,
Innsbruck,AUT,2021,BL,WC,lead,Men,26,Victor,Baudrand,CAN,2003,24+,32,29+,19,29.17,24,5+,26,,
Innsbruck,AUT,2021,BL,WC,lead,Men,27,Ross,Fulkerson,USA,2001,24,52,30+,17,31.02,27,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,28,Mikel Asier,Linacisoro Molina,ESP,2000,24+,32,29,23,31.89,28,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,29,Fedir,Samoilov,UKR,1997,26,29,21+,35,32.13,29,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,30,Ziga,Zajc,SLO,2001,24+,32,25+,28,34.09,30,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,31,Oscar,Baudrand,CAN,2005,25,31,20+,37,34.32,31,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,32,Nimrod,Marcus,ISR,1999,30+,21,18+,42,34.94,32,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,32,Vladislav,Shevchenko,RUS,1998,30+,21,18+,42,34.94,32,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,34,Mathias,Posch,AUT,1999,31+,17,18,70,35.11,34,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,35,Michael,Piccolruaz,ITA,1995,24+,32,24+,30,35.87,35,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,35,Gergő,Vályi ,HUN,2004,24+,32,24+,30,35.87,35,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,35,Adrien,Lemaire,FRA,1999,24+,32,24+,30,35.87,35,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,38,Rishat,Khaibullin,KAZ,1995,29+,24,18+,42,36.5,38,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,39,Timothy,Kang,USA,1999,24,52,29,23,36.71,39,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,40,Ellis,Ernsberger,USA,2003,28+,26,18+,42,37.99,40,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,41,Sohta,Amagasa,JPN,2000,24,52,26+,27,38.54,41,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,42,Dimitri,Vogt,SUI,1997,28,27,18+,42,38.71,42,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,43,Philipp,Martin,GER,1994,27,28,18+,42,39.42,43,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,44,Filip,Schenk,ITA,2000,24+,32,20+,37,39.71,44,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,45,Nathaniel,Coleman,USA,1997,30+,21,16+,76,41.42,45,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,46,Marek,Jeliga,CZE,2003,24,52,23+,33,42.6,46,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,47,Mark,Brand,NED,1998,19,67,25,29,44.41,47,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,48,Milan,Preskar,SLO,1996,24+,32,18+,42,47.99,48,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,48,Stefan,Scherz,AUT,2001,24+,32,18+,42,47.99,48,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,48,Dmitrii,Popov,RUS,1997,24+,32,18+,42,47.99,48,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,48,Jongwon,CHON,KOR,1996,24+,32,18+,42,47.99,48,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,52,Giovanni,Placci,ITA,2001,29,25,10+,92,48.22,52,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,53,Vadim,Timonov,RUS,1992,19+,66,21,36,48.74,53,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,54,Fredrik,Serlachius,SWE,1998,20+,64,19,41,51.42,54,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,55,Nao,Monchois,FRA,1998,26,29,11,89,51.53,55,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,56,Leto,Cavé,NED,2002,16+,70,20+,37,54.79,56,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,57,Yuval,Shemla,ISR,1998,24+,32,18,70,54.85,57,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,57,Sebastian,Halenke,GER,1995,24+,32,18,70,54.85,57,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,59,Tomas,Plevko,SVK,1999,24,52,18+,42,55.25,59,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,59,Edvards,Gruzitis,LAT,2004,24,52,18+,42,55.25,59,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,61,Simon,Potucek,CZE,2001,16+,70,19+,40,56.21,61,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,62,Nimród Sebestyén,Tusnády ,HUN,2004,23,60,18+,42,57.71,62,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,63,Attila Zsombor,Radics,HUN,2004,22+,61,18+,42,58.19,63,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,64,Louis,Gundolf,AUT,2001,22,62,18+,42,58.9,64,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,65,Jonas,Brandenburger,GER,2001,20+,64,18+,42,59.83,65,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,66,Julian,Wimmer,AUT,2005,19,67,18+,42,61.43,66,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,66,Fabian,Förander,SWE,1998,19,67,18+,42,61.43,66,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,68,Georg,Parma,AUT,1997,24+,32,0,99,64.1,68,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,69,Simon,Lorenzi,BEL,1997,23+,59,18,70,65.4,69,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Jakub,Zietek,POL,2002,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Bence,Fuksz,HUN,2004,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Lluc,Macià Llobet,ESP,2004,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Jakub,Fábric,SVK,2003,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Axel,Lindfors,FIN,1991,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Benjamin,Haidacher,AUT,2004,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Julien,Clémence,SUI,2001,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,70,Philipp,Göthert,GER,2001,16+,70,18+,42,66.22,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,78,Stepan,Potucek,CZE,2001,22,62,16+,76,69.82,78,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,79,Johannes,Hofherr,AUT,2002,14,91,18+,42,71.26,79,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,80,Shuta,Tanaka,JPN,2000,24,52,10+,92,71.52,80,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,81,Christian,Wagner,CHI,2002,16+,70,18,70,75.68,81,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,81,Illia,Bakhmet-Smolenskyi,UKR,2005,16+,70,18,70,75.68,81,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,83,Matthaios,VALSAMIDIS,GRE,1999,16+,70,16+,76,78.5,83,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,83,Roman,Batsenko,UKR,1995,16+,70,16+,76,78.5,83,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,83,Geva,Levin,ISR,2003,16+,70,16+,76,78.5,83,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,86,Samuel,Stefanik,SVK,2003,16+,70,16,81,80.24,86,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,87,Love  Ymer,Alber,SWE,2000,16+,70,15+,83,80.98,87,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,88,Filip,Hromada,SVK,2004,16+,70,12,88,83.38,88,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,89,Emil,Abrahamsson,SWE,1996,16+,70,11,89,84.32,89,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,90,Roman,Sivakov,LTU,2003,15+,89,16,81,85.17,90,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,91,Yotam,Ben reuven,ISR,2001,13,93,13+,84,88.91,91,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,92,Ludovico,Fossali,ITA,1997,14,91,13,87,89.22,92,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,93,Vilks,Kaspars,LAT,1991,11,94,13+,84,89.39,93,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,94,Theofanis-Ermis,THEOCHAROPOULOS,GRE,2000,9+,97,13+,84,91.04,94,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,95,Victor,SEBROS,GRE,1995,15,90,10,95,92.71,95,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,96,Orfeas,TSIAOUSIS,GRE,1999,9+,97,10+,92,95.22,96,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,97,Mikael,Suihkonen,FIN,2003,10,96,10,95,95.75,97,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,98,Bohdan,Botnar,UKR,2001,10+,95,8,98,96.49,98,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,99,Leonid,Osadchyi,UKR,2001,4,99,9,97,97.99,99,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,,Ilmari,Piiroinen,FIN,2003,DNS,,DNS,,DNS,,,,,
Innsbruck,AUT,2021,BL,WC,lead,Men,,Tamás,Farkas,HUN,1994,DNS,,DNS,,DNS,,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,1,Janja,Garnbret,SLO,1999,TOP,1,TOP,1,1.41,1,42+,1,TOP,1
Innsbruck,AUT,2021,BL,WC,lead,Women,2,Brooke,Raboutou,USA,2001,39+,4,TOP,1,2.83,3,36.5+,3,40,2
Innsbruck,AUT,2021,BL,WC,lead,Women,3,Akiyo,Noguchi,JPN,1989,31,11,35+,4,7.5,6,32+,7,33+,3
Innsbruck,AUT,2021,BL,WC,lead,Women,4,Viktoriia,Meshkova,RUS,2000,31+,7,33+,10,10.91,10,35,6,22+,4
Innsbruck,AUT,2021,BL,WC,lead,Women,5,Miho,Nonaka,JPN,1997,31,11,33+,10,13.23,13,32,8,22+,5
Innsbruck,AUT,2021,BL,WC,lead,Women,6,Vita,Lukan,SLO,2000,41,3,34,7,4.9,4,35+,5,19+,6
Innsbruck,AUT,2021,BL,WC,lead,Women,7,Laura,Rogora,ITA,2001,46+,2,TOP,1,2,2,42,2,13+,7
Innsbruck,AUT,2021,BL,WC,lead,Women,8,Lucka,Rakovec,SLO,2001,33,5,34,7,6.32,5,36.5+,4,13+,8
Innsbruck,AUT,2021,BL,WC,lead,Women,9,Futaba,Ito,JPN,2002,25,27,33+,10,19.62,18,31+,9,,
Innsbruck,AUT,2021,BL,WC,lead,Women,10,Julia,Chanourdie,FRA,1996,28+,23,34+,6,11.75,12,30+,10,,
Innsbruck,AUT,2021,BL,WC,lead,Women,11,Mia,Krampl,SLO,2000,30+,15,33+,10,14.73,16,30+,11,,
Innsbruck,AUT,2021,BL,WC,lead,Women,12,Eliska,Adamovska,CZE,2001,31+,7,26+,27,16.36,17,30+,12,,
Innsbruck,AUT,2021,BL,WC,lead,Women,13,Momoko,ABE,JPN,2003,31,11,33+,10,13.23,13,29+,13,,
Innsbruck,AUT,2021,BL,WC,lead,Women,14,Heloïse,Doumont,BEL,1998,31+,7,34,7,8.25,7,26+,14,,
Innsbruck,AUT,2021,BL,WC,lead,Women,15,Anne-Sophie,Koller,SUI,1996,31+,7,33+,10,10.91,10,26+,15,,
Innsbruck,AUT,2021,BL,WC,lead,Women,16,Lana,Skusek,SLO,2000,31,11,33+,10,13.23,13,26+,16,,
Innsbruck,AUT,2021,BL,WC,lead,Women,17,Salomé,Romain,FRA,1996,28,24,27+,22,24,23,26+,17,,
Innsbruck,AUT,2021,BL,WC,lead,Women,18,Aleksandra,Totkova,BUL,2005,32+,6,33+,10,9.17,8,24+,18,,
Innsbruck,AUT,2021,BL,WC,lead,Women,19,Manon,Hily,FRA,1994,29+,18,27+,22,21.63,20,24+,19,,
Innsbruck,AUT,2021,BL,WC,lead,Women,20,Claudia,Ghisolfi,ITA,1996,26+,25,27+,22,24.74,24,24+,20,,
Innsbruck,AUT,2021,BL,WC,lead,Women,21,Kyra,Condie,USA,1996,30+,15,26+,27,22.1,21,23+,21,,
Innsbruck,AUT,2021,BL,WC,lead,Women,22,Eva Maria,Hammelmüller,AUT,2000,30,17,26+,27,23.14,22,23,22,,
Innsbruck,AUT,2021,BL,WC,lead,Women,23,Giorgia,Tesio,ITA,2000,23+,32,32+,19,25.79,25,23,23,,
Innsbruck,AUT,2021,BL,WC,lead,Women,24,Julia,Fiser,AUT,1997,29,22,30+,20,21.24,19,20,24,,
Innsbruck,AUT,2021,BL,WC,lead,Women,25,Natalia,Grossman,USA,2001,29+,18,35+,4,9.37,9,18+,25,,
Innsbruck,AUT,2021,BL,WC,lead,Women,26,Tjasa,Slemensek,SLO,1999,21,48,33+,10,26.06,26,15+,26,,
Innsbruck,AUT,2021,BL,WC,lead,Women,27,Maya,Madere,USA,1999,29+,18,26,37,26.86,27,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,28,Miu,KAKIZAKI,JPN,2003,23+,32,27+,22,28.98,28,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,29,Lynn,van der Meer,NED,1999,22+,39,30+,20,29.52,29,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,30,Ekaterina,Kipriianova,RUS,1989,24,30,26+,27,31,30,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,31,Tina Johnsen,Hafsaas,NOR,1994,22+,39,27+,22,31.94,31,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,32,Nina,Arthaud,FRA,2000,29+,18,22,52,32.3,32,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,33,Ariane,Franken,AUT,2005,23+,32,26+,27,33.2,33,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,33,Lucie,Watillon,BEL,2003,23+,32,26+,27,33.2,33,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,33,Anna,Zaikina,RUS,1993,23+,32,26+,27,33.2,33,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,36,Michelle,Hulliger,SUI,1999,25,27,24+,39,34.19,36,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,37,Käthe,Atkins,GER,2001,24,30,24+,39,36,37,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,38,Petra,Klingler,SUI,1992,26+,25,22,52,36.94,38,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,39,Luisa,Flohé,GER,2001,21+,47,26+,27,38.48,39,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,40,Maya,Dreamer,ISR,2001,22+,39,25,38,40.19,40,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,41,Julia,Duffy,USA,2004,20,58,26+,27,42.74,41,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,42,Emilia,Warenski,AUT,2004,24+,29,12+,60,43.91,42,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,43,Jana,Rauth,AUT,2002,23+,32,21,58,45.06,43,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,44,Roxana,Wienand,GER,2000,19,64,26+,27,45.6,44,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,45,Hannah,Schubert,AUT,1997,22+,39,22+,47,45.63,45,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,45,Valeri,Kremer,ISR,1991,22+,39,22+,47,45.63,45,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,47,Ayala,Kerem,ISR,2001,20+,50,24+,39,47.68,47,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,47,Michaela,Smetanova,CZE,2003,22+,39,22,52,47.68,47,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,47,Aida,Torres Illamola,ESP,2002,20+,50,24+,39,47.68,47,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,47,Iziar,Martínez Almendros,ESP,2005,20+,50,24+,39,47.68,47,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,51,Sunniva,Øvre-Eide,NOR,2004,23+,32,12+,60,48.24,51,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,52,Valentina,Aguado,ARG,2001,19+,59,24+,39,50.92,52,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,52,Annika,Stöckl,AUT,2005,19+,59,24+,39,50.92,52,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,52,Irina,Kuzmenko,RUS,1995,19+,59,24+,39,50.92,52,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,55,Bianca,Magalhaes de Castro ,BRA,1988,20+,50,22+,47,51.2,55,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,56,Ingrid,Kindlihagen,NOR,2002,22+,39,12+,60,53.16,56,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,56,Elza Elizabete,Baraka,LAT,2001,22+,39,12+,60,53.16,56,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,58,Alejandra,Contreras,CHI,2000,20+,50,21+,56,54.98,58,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,58,Naama,Yohai,ISR,2000,20+,50,21+,56,54.98,58,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,60,Ignacia,Mellado Quinteros,CHI,2002,21,48,12+,60,56.79,60,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,61,Laura,Loikas,FIN,2002,19,64,22+,47,56.87,61,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,62,Tereza,Siruckova,CZE,2003,15+,71,22+,47,58.98,62,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,63,Katherine,Choong,SUI,1992,19,64,22,52,59.42,63,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,64,Martina,Demmel,GER,2001,20+,50,12+,60,59.65,64,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,65,Aleksandra,Kalucka,POL,2001,19,64,20,59,62.4,65,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,66,Katrin,Amann,SWE,1995,20+,50,12,74,62.92,66,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,67,Rut,Monsech Gasca,ESP,2002,19+,59,12+,60,63.69,67,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,67,Bianka,Janecka,POL,2003,19+,59,12+,60,63.69,67,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,69,Elizabeth,Sepulveda,PUR,2002,19,64,12+,60,66.25,69,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,70,Edel,Lemvik,NOR,2004,18+,69,12+,60,67.74,70,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,71,Vanda,Michalkova,SVK,2002,17,70,12+,60,68.23,71,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,72,Alexandra,Gullberg,SWE,2001,14+,72,12+,60,69.2,72,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,73,Evdoxia-Aikaterini,KALLIA,GRE,2002,12+,73,12+,60,69.91,73,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,74,Anastasija,Teriochina,LTU,1987,12,75,12+,60,70.62,74,,,,
Innsbruck,AUT,2021,BL,WC,lead,Women,75,Arta,Matelsone,LAT,1997,12+,73,11,75,74.25,75,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,1,Yoshiyuki,Ogata,JPN,1998,,,,,5T5z 8 6,1,3T4z 5 4,3,2T2z 7 7,1
Innsbruck,AUT,2021,BL,WC,boulder,Men,2,Tomoa,Narasaki,JPN,1996,,,,,3T5z 6 7,3,3T4z 4 6,2,1T3z 2 11,2
Innsbruck,AUT,2021,BL,WC,boulder,Men,3,Kokoro,Fujii,JPN,1992,,,,,5T5z 11 8,3,4T4z 8 4,1,1T1z 2 2,3
Innsbruck,AUT,2021,BL,WC,boulder,Men,4,Nicolai,Uznik,AUT,2000,,,,,2T5z 4 7,9,3T4z 8 11,5,1T1z 2 2,4
Innsbruck,AUT,2021,BL,WC,boulder,Men,5,Simon,Lorenzi,BEL,1997,,,,,2T5z 6 7,17,3T3z 8 5,6,1T1z 10 10,5
Innsbruck,AUT,2021,BL,WC,boulder,Men,6,Nathaniel,Coleman,USA,1997,,,,,2T5z 2 10,19,3T4z 5 9,4,0T1z 0 2,6
Innsbruck,AUT,2021,BL,WC,boulder,Men,7,Aleksey,Rubtsov,RUS,1988,,,,,3T5z 9 7,11,3T3z 11 9,7,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,8,Jongwon,CHON,KOR,1996,,,,,5T5z 17 12,6,2T4z 2 5,8,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,9,Colin,Duffy,USA,2003,,,,,2T5z 5 8,15,2T4z 4 5,9,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,10,Rei,Sugimoto,JPN,1991,,,,,4T5z 18 17,9,2T4z 5 4,10,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,11,Yannick,Flohé,GER,1999,,,,,3T4z 8 11,17,2T4z 5 6,11,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,12,Alexander,Megos,GER,1993,,,,,2T5z 6 8,19,2T4z 6 9,12,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,13,Kai,Harada,JPN,1999,,,,,4T5z 13 11,7,2T3z 2 5,13,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,14,Jakob,Schubert,AUT,1990,,,,,3T5z 6 6,1,2T3z 5 6,14,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,15,Sohta,Amagasa,JPN,2000,,,,,3T5z 6 7,3,1T4z 1 6,15,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,16,Tomoaki,Takata,JPN,1995,,,,,3T5z 17 17,15,1T4z 2 12,16,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,17,Anze,Peharc,SLO,1997,,,,,3T5z 13 11,13,1T4z 4 13,17,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,18,Mickael,Mawem,FRA,1990,,,,,2T5z 3 5,7,1T4z 5 6,18,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,19,Jan,Hojer,GER,1992,,,,,2T5z 4 9,11,1T3z 2 4,19,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,20,Mejdi,Schalck,FRA,2004,,,,,2T5z 4 10,13,1T3z 6 5,20,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,21,Zan,Lovenjak Sudar,SLO,1998,,,,,2T4z 6 7,21,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,21,Anthony,Gullsten,FIN,1991,,,,,2T5z 4 12,21,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,23,Gregor,Vezonik,SLO,1995,,,,,2T5z 6 8,23,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,23,Matic,Kotar,SLO,1999,,,,,2T4z 8 9,23,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,25,Alex,Khazanov,ISR,1995,,,,,2T5z 7 18,25,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,25,Ao,YURIKUSA,JPN,2002,,,,,1T5z 2 11,25,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,27,Jan-Luca,Posch,AUT,1998,,,,,1T5z 3 10,27,,,,
Innsbruck,AUT,2021,BL,WC,boulder,Men,27,Edvards,Gruzitis,LAT,2004,,,,,1T5z 2 6,27,,,,
