discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;70;Samuel Carlos  ;Da Silva;BRA;2002;19+;67;18+;65;66.97;70;;;;;;;;
lead;Men;71;Alex;Mendes Júnior;BRA;1999;17+;75;19;61;68.92;71;;;;;;;;
lead;Men;72;Chia Hsiang;Lin;TPE;1998;19+;67;17+;69;69.0;72;;;;;;;;
lead;Men;73;Leonid;Osadchyi;UKR;2001;19+;67;16+;70;70.24;73;;;;;;;;
lead;Men;74;Radin;Foroughian;IRI;2004;25;54;"";;72.99;74;;;;;;;;
lead;Men;75;Nichol;Tomas;THA;2004;19+;67;13;82;75.9;75;;;;;;;;
lead;Men;76;Geva;Levin;ISR;2003;18+;72;13+;78;76.18;76;;;;;;;;
lead;Men;77;Vin;Sukapanpotharam;THA;2005;17+;75;13+;78;77.73;77;;;;;;;;
lead;Men;78;Joaquin;Urrutia;CHI;2005;16+;78;15+;74;78.4;78;;;;;;;;
lead;Men;78;Ben;Abel;AUS;1998;16+;78;15+;74;78.4;78;;;;;;;;
lead;Men;80;WONWOO;HAN;KOR;2003;16+;78;15;76;79.18;80;;;;;;;;
lead;Men;81;Teeraphon;Boondech;THA;2001;16+;78;14;77;79.7;81;;;;;;;;
lead;Men;82;Hritik;Marne;IND;2000;18+;72;12+;86;80.6;82;;;;;;;;
lead;Men;83;Aaron;Peñaranda;ECU;2000;16+;78;13+;78;80.99;83;;;;;;;;
lead;Men;84;Alexey;Panfilov;KAZ;1997;17+;75;12+;86;82.24;84;;;;;;;;
lead;Men;85;Pedro;Egg;BRA;2001;16+;78;13;82;83.0;85;;;;;;;;
lead;Men;86;Winai;Ruangrit;THA;1996;16+;78;12+;86;85.69;86;;;;;;;;
lead;Men;86;MUHAMMET ALİ;KESKİN;TUR;2002;16+;78;12+;86;85.69;86;;;;;;;;
