discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Women;25;Addyson;Tallent;USA;2006;10.22;25;;;;;;;;
speed;Women;26;Arantza;Fernández Gutierrez;MEX;2002;10.57;26;;;;;;;;
speed;Women;27;Victoire;Andrier;FRA;1996;10.83;27;;;;;;;;
speed;Women;28;Liberty;Runnels;USA;2006;12.55;28;;;;;;;;
speed;Women;29;Grace;Crowley;AUS;2003;14.53;29;;;;;;;;
speed;Women;30;María Fernanda;Hidalgo Amezquita;MEX;2001;14.80;30;;;;;;;;
speed;Women;31;Doriane;SARAMANDIF;MRI;2005;28.10;31;;;;;;;;
speed;Women;32;Aurelia;Sarisson;FRA;1997;FALSE START;32;;;;;;;;
boulder;Men;1;Yoshiyuki;Ogata;JPN;1998;4T4z 6 4;15;4T4z 8 8;2;;;;;4T4z 5 5;1
boulder;Men;2;Anze;Peharc;SLO;1997;4T5z 6 6;13;4T4z 9 7;3;;;;;4T4z 5 5;2
boulder;Men;3;Kokoro;Fujii;JPN;1992;4T5z 4 5;9;4T4z 7 7;1;;;;;4T4z 9 8;3
boulder;Men;4;Jongwon;CHON;KOR;1996;5T5z 10 5;3;3T4z 7 8;6;;;;;3T4z 4 5;4
boulder;Men;5;Rei;Kawamata;JPN;2003;5T5z 9 5;3;4T4z 10 9;5;;;;;3T3z 7 6;5
boulder;Men;6;Ross;Fulkerson;USA;2001;4T5z 4 6;11;4T4z 9 9;4;;;;;2T2z 4 3;6
boulder;Men;7;Yannick;Flohé;GER;1999;5T5z 9 5;3;3T4z 8 9;7;;;;;;
boulder;Men;7;Jakob;Schubert;AUT;1990;4T5z 7 5;15;3T4z 8 9;7;;;;;;
boulder;Men;9;Paul;Jenft;FRA;2003;3T4z 3 7;19;3T4z 9 10;9;;;;;;
boulder;Men;10;Dohyun;LEE;KOR;2002;5T5z 9 7;1;3T4z 10 11;10;;;;;;
boulder;Men;11;Zach;Galla;USA;2000;3T5z 8 8;17;3T3z 3 3;11;;;;;;
boulder;Men;12;Maximillian;Milne;GBR;2000;5T5z 10 9;6;3T3z 4 3;12;;;;;;
boulder;Men;13;Colin;Duffy;USA;2003;4T5z 7 6;17;2T4z 12 14;13;;;;;;
boulder;Men;14;Nathan;Phillips;GBR;1994;3T5z 3 7;19;2T3z 2 3;14;;;;;;
boulder;Men;15;Hamish;McArthur;GBR;2002;5T5z 11 9;7;2T3z 3 3;15;;;;;;
boulder;Men;16;Sean;Bailey;USA;1996;5T5z 9 6;7;2T3z 4 3;16;;;;;;
