discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Men;67;Julien;Clémence;SUI;2001;13+;72;22+;51;63.29;67;;;;;;;;
lead;Men;68;Christian;Wagner;CHI;2002;16+;66;20+;62;64.73;68;;;;;;;;
lead;Men;69;Fabian;Förander;SWE;1998;15+;68;19+;65;67.74;69;;;;;;;;
lead;Men;70;Ronny;Escobar;CHI;1997;16+;66;15+;71;68.71;70;;;;;;;;
lead;Men;70;Chi-fung;AU;HKG;1995;14+;71;19+;65;68.71;70;;;;;;;;
lead;Men;72;Joaquin;Urrutia;CHI;2005;17+;59;5+;77;69.32;72;;;;;;;;
lead;Men;73;Kindar;McNamee;CAN;2002;15+;68;16;70;69.5;73;;;;;;;;
lead;Men;74;Hritik;Marne;IND;2000;13+;72;19+;65;69.91;74;;;;;;;;
lead;Men;75;Tsz-kiu;LAU;HKG;2004;15+;68;7+;76;72.42;75;;;;;;;;
lead;Men;76;Mel;Janse van Rensburg;RSA;2001;13+;72;8;75;74.25;76;;;;;;;;
lead;Men;77;MUSAUWIR;MUSAUWIR;INA;2004;1+;84;19+;65;74.74;77;;;;;;;;
lead;Men;78;MUHAMMAD;RIZKY SYAHRAFLI SIMATUPANG;INA;2004;7+;79;17+;69;74.76;78;;;;;;;;
lead;Men;79;Man-hei;CHUNG;HKG;2004;9+;78;11;72;74.94;79;;;;;;;;
lead;Men;80;MUHAMMAD FERZA FERNADA;ABDI;INA;2003;7+;79;8+;73;77.16;80;;;;;;;;
lead;Men;80;Joshua;Bruyns;RSA;2003;7+;79;8+;73;77.16;80;;;;;;;;
lead;Men;82;José Alejandro;Sauceda Rodríguez;MEX;1997;10;77;2+;81;79.22;82;;;;;;;;
lead;Men;83;Denis;Zhendinskiy;KAZ;1984;7+;79;4;79;79.99;83;;;;;;;;
lead;Men;84;MUHAMMAD RAMZI;FIRMANSYAH;INA;2004;7+;79;"";;82.24;84;;;;;;;;
