City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification 1 score,Qualification 1 rank,Qualification 2 score,Qualification 2 rank,Qualification score,Qualification rank,Semi-final score,Semi-final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Chamonix,FRA,2022,LS,WC,lead,Men,31,Maximillian,Milne,GBR,2000,35,28,34+,32,32.69,31,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,32,Adrien,Lemaire,FRA,1999,32,41,37,24,32.98,32,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,33,Yoshiyuki,Ogata,JPN,1998,31+,47,39,21,33.11,33,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,34,Leto,Cavé,NED,2002,34+,30,34+,32,34.1,34,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,35,Jesse,Grupper,USA,1997,TOP,1,10,93,34.77,35,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,36,Jihwan,PARK,KOR,1989,31,56,37,24,37.42,36,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,37,Alberto,Gotta,ITA,1992,35+,26,33+,49,37.65,37,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,38,Yuval,Shemla,ISR,1998,32+,37,34+,32,38,38,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,38,Jongwon,CHON,KOR,1996,32+,37,34+,32,38,38,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,38,Campbell,Harrison,AUS,1997,32+,37,34+,32,38,38,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,41,Mikel Asier,Linacisoro Molina,ESP,2000,31+,47,35+,28,38.46,41,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,42,YUFEI,PAN,CHN,2000,31+,47,35,31,39.76,42,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,43,Hugo,Parmentier,FRA,1998,32,41,34+,32,40.39,43,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,44,Victor,Baudrand,CAN,2003,28+,67,37,24,41.23,44,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,45,MUSAUWIR,MUSAUWIR,INA,2004,33,35,33+,49,43.58,45,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,46,Nikolay,Rusev,BUL,2006,31+,47,34+,32,43.73,46,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,46,Charlie,Osborne,USA,2002,31+,47,34+,32,43.73,46,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,48,Lucas,Dufros,FRA,2002,33+,33,33,59,44.65,48,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,49,Marcello,Bombardi,ITA,1993,32,41,34,44,44.73,49,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,50,YONGCHEN,CHEN,CHN,2002,29+,58,34+,32,48.02,50,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,51,Anthony,Gullsten,FIN,1991,32,41,33+,49,48.24,51,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,52,Sungsu,LEE,KOR,1999,32+,37,32+,61,49.05,52,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,53,Alex,Waterhouse,GBR,1997,29,66,34+,32,49.75,53,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,54,Shinyeong,YUN,KOR,1995,31+,47,33+,49,52.24,54,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,55,Santiago,De Alba Flores,MEX,1992,24+,73,34+,32,53.03,55,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,56,Nino,Grünenfelder,SUI,2001,32,41,31+,67,54.39,56,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,57,Martin,Bergant,SLO,1996,30+,57,33+,49,55.22,57,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,58,Ross,Fulkerson,USA,2001,28+,67,34,44,55.93,58,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,59,Giovanni,Placci,ITA,2001,33,35,13+,89,56.52,59,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,60,Simon,Potucek,CZE,2001,29+,58,33+,49,57.36,60,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,60,Leo Ketil,Bøe,NOR,1999,29+,58,33+,49,57.36,60,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,60,Jakub,Zietek,POL,2002,29+,58,33+,49,57.36,60,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,63,Oscar,Baudrand,CAN,2005,31+,47,32,65,57.8,63,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,64,Felipe ,Ho Foganholo,BRA,1999,31+,47,31,70,59.96,64,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,65,Cheung-chi Shoji,Chan,HKG,1995,28+,67,33+,49,60.32,65,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,66,Julien,Clémence,SUI,2001,29+,58,32+,61,62,66,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,66,Sean,Faulkner,CAN,2000,29+,58,32+,61,62,66,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,68,Fredrik,Serlachius,SWE,1998,31+,47,28,76,62.67,68,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,69,William,Ridal,GBR,1997,29+,58,31+,67,64.67,69,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,70,Vasil,Vassilev,BUL,2004,22+,79,33+,49,65.01,70,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,71,Guy,McNamee,CAN,2002,24+,73,32+,61,68.47,71,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,72,HAIBIN,QU,CHN,1992,29+,58,27,80,70.36,72,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,73,Chi-fung,AU,HKG,1995,26,71,31,70,70.75,73,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,74,JINBIN,HUANG,CHN,2005,28,70,30+,72,70.99,74,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,75,Alistair,Duval,FRA,2001,24+,73,31+,67,71.41,75,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,76,Benjamin,Hanna,USA,1998,24,78,32,65,71.48,76,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,77,Joshua,Mennell,AUS,2004,25,72,28+,73,72.99,77,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,78,Kindar,McNamee,CAN,2002,24+,73,28+,73,74.5,78,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,78,Stepan,Potucek,CZE,2001,24+,73,28+,73,74.5,78,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,80,Tsz-kiu,LAU,HKG,2004,20,82,28,76,79.7,80,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,81,Cheuk-nam,WONG,HKG,2001,20+,80,26+,82,81.25,81,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,82,MUHAMMAD FERZA FERNADA,ABDI,INA,2003,17+,84,27+,79,81.46,82,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,83,MUHAMMAD RAMZI,FIRMANSYAH,INA,2004,20+,80,25+,83,81.99,83,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,84,HUALONG,SONG,CHN,2000,17,85,27,80,82.72,84,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,85,Denis,Zhendinskiy,KAZ,1984,20,82,25+,83,83,85,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,86,MUHAMMAD,RIZKY SYAHRAFLI SIMATUPANG,INA,2004,11+,94,28,76,85.08,86,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,87,Hritik,Marne,IND,2000,16+,86,25,85,85.75,87,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,88,Rodrigo,Iasi Hanada,BRA,2002,15+,87,24+,87,87.5,88,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,89,Emil,Abrahamsson,SWE,1996,15,90,25,85,88.45,89,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,90,Mateus,Rodrigues Bellotto,BRA,2003,15+,87,13+,89,88.99,90,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,91,Man-hei,CHUNG,HKG,2004,15,90,22+,88,89.73,91,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,92,Fabian,Förander,SWE,1998,15+,87,13,92,89.98,92,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,93,Joshua,Bruyns,RSA,2003,15,90,13+,89,90.75,93,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,94,José Alejandro,Sauceda Rodríguez,MEX,1997,15,90,7+,94,92.74,94,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Men,,Mikael,Suihkonen,FIN,2003,DNS,,DNS,,DNS,,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,1,Janja,Garnbret,SLO,1999,TOP,1,TOP,1,5.05,1,TOP,1,,,,,TOP,1
Chamonix,FRA,2022,LS,WC,lead,Women,2,Laura,Rogora,ITA,2001,TOP,1,18,55,22.86,21,TOP,4,,,,,TOP,2
Chamonix,FRA,2022,LS,WC,lead,Women,3,Chaehyun,SEO,KOR,2003,TOP,1,TOP,1,5.05,1,37,5,,,,,TOP,3
Chamonix,FRA,2022,LS,WC,lead,Women,4,Jessica,Pilz,AUT,1996,TOP,1,18+,47,20.72,19,30,7,,,,,TOP,4
Chamonix,FRA,2022,LS,WC,lead,Women,5,Natsuki,Tanii,JPN,2003,TOP,1,37+,7,8.25,6,TOP,3,,,,,45+,5
Chamonix,FRA,2022,LS,WC,lead,Women,6,Natalia,Grossman,USA,2001,TOP,1,TOP,1,5.05,1,TOP,1,,,,,43+,6
Chamonix,FRA,2022,LS,WC,lead,Women,7,Brooke,Raboutou,USA,2001,TOP,1,TOP,1,5.05,1,37,5,,,,,43+,7
Chamonix,FRA,2022,LS,WC,lead,Women,8,Mia,Krampl,SLO,2000,TOP,1,37+,7,8.25,6,29+,8,,,,,37,8
Chamonix,FRA,2022,LS,WC,lead,Women,9,Manon,Hily,FRA,1994,39+,17,37+,7,12,10,29+,9,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,10,Hélène,Janicot,FRA,1993,TOP,1,33+,15,11.48,8,28,10,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,11,Risa,Ota,JPN,1993,TOP,1,31+,17,12.37,11,25,11,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,12,Molly,Thompson-Smith,GBR,1997,37,20,34+,11,15.81,14,25,12,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,13,Melina,Costanza,USA,1999,TOP,1,28,32,16.49,15,25,13,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,14,Giorgia,Tesio,ITA,2000,36+,21,30+,20,22.48,20,25,14,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,15,Aleksandra,Totkova,BUL,2005,TOP,1,TOP,1,5.05,1,24+,15,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,16,Vita,Lukan,SLO,2000,TOP,1,33+,15,11.48,8,24+,16,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,17,Camille,Pouget,FRA,2002,39+,17,35,10,13.42,13,24,17,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,18,Futaba,Ito,JPN,2002,35+,23,34+,11,17.32,16,24,18,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,19,Lucka,Rakovec,SLO,2001,TOP,1,18,55,22.86,21,24,19,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,20,Miu,KAKIZAKI,JPN,2003,33+,28,31+,17,23.24,24,24,20,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,21,Mei,Kotake,JPN,1997,TOP,1,31+,17,12.37,11,23+,21,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,22,ZHILU,LUO,CHN,2006,35+,23,34+,11,17.32,16,23+,22,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,23,Ryu,NAKAGAWA,JPN,2004,TOP,1,18,55,22.86,21,23+,23,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,24,Eliska,Adamovska,CZE,2001,24,57,39,6,18.49,18,22,24,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,25,Quinn,Mason,USA,2003,29+,42,34+,11,23.58,25,19+,25,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,26,Gayeong,OH,KOR,2006,35+,23,30+,20,23.75,26,19+,26,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,27,Salomé,Romain,FRA,1996,39+,17,27+,33,24.37,27,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,28,Michelle,Hulliger,SUI,1999,33+,28,30+,20,26.55,28,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,29,Claudia,Ghisolfi,ITA,1996,34+,26,28+,28,27.69,29,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,30,Anne-Sophie,Koller,SUI,1996,32+,33,30+,20,28.27,30,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,31,Alannah,Yip,CAN,1993,33+,28,28+,28,29.75,31,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,32,Tjasa,Slemensek,SLO,1999,30+,36,30+,20,30.08,32,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,33,Stasa,Gejo,SRB,1997,29+,42,30+,20,32.34,33,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,33,Eva Maria,Hammelmüller,AUT,2000,29+,42,30+,20,32.34,33,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,33,Sol,SA,KOR,1994,29+,42,30+,20,32.34,33,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,36,Julia,Chanourdie,FRA,1996,34,27,24+,40,33.27,36,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,37,Käthe,Atkins,GER,2001,30+,36,28+,28,33.7,37,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,38,Ilaria,Scolaris,ITA,1998,36+,21,18,55,36.36,38,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,39,YUETONG,Zhang,CHN,2003,33+,28,18+,47,38.92,39,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,40,Noa,Shiran,ISR,2001,29+,42,26+,35,39.75,40,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,41,Roxana,Wienand,GER,2000,25+,56,28+,28,40.64,41,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,42,Nolwenn,Arc,FRA,2000,32+,33,18+,47,41.44,42,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,43,Lana,Skusek,SLO,2000,33+,28,18,55,42.95,43,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,44,Louna,Deshayes,FRA,2005,28+,48,25+,37,43.08,44,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,45,Babette,Roy,CAN,2002,27+,52,26+,35,43.17,45,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,46,Kyra,Condie,USA,1996,22+,60,27,34,45.17,46,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,47,Maya,Dreamer,ISR,2001,26,54,25+,37,45.21,47,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,48,Valeri,Kremer,ISR,1991,32+,33,18,55,45.73,48,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,49,INA,PLASSOUX DJIGA,FRA,1999,28+,48,19,44,47.2,49,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,50,Valentina,Aguado,ARG,2001,23+,58,25,39,47.77,50,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,51,Rebecca,Frangos,CAN,1997,27+,52,19,44,48.61,51,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,52,Yejoo,SEO,KOR,2006,30+,36,18,55,48.66,52,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,52,Martina,Demmel,GER,2001,30+,36,18,55,48.66,52,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,52,Indiana,Chapman,CAN,2003,30+,36,18,55,48.66,52,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,52,Momoko,ABE,JPN,2003,30+,36,18,55,48.66,52,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,56,Mattea,Pötzi,AUT,2000,28+,48,18+,47,50,56,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,56,valentine,Mangin ,FRA,2001,28+,48,18+,47,50,56,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,58,Aida,Torres Illamola,ESP,2002,21+,61,24+,40,50.62,58,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,58,Lucie,Vaillant Bultel,FRA,2001,21+,61,24+,40,50.62,58,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,60,Kylie,Cullen,USA,2004,29+,42,18,55,52.31,60,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,61,Jennifer,Wood,GBR,1994,21,65,23,43,53.87,61,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,62,Luisa,Flohé,GER,2001,23+,58,18+,47,54.35,62,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,63,Margarita,Agambayeva,KAZ,1999,21,65,19,44,55.11,63,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,64,Naama,Yohai,ISR,2000,21+,61,18+,47,56.18,64,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,65,SUKMA,LINTANG CAHYANI,INA,2004,26,54,18,55,57.89,65,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,66,Thea,Cameron,GBR,2000,21,65,18+,47,58.38,66,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,67,Joanna,Neame,GBR,1999,21,65,18,55,64.43,67,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,68,HONGCHUN,XIANG,CHN,1998,21+,61,17,71,66.61,68,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,69,ZIHAN,HUANG,CHN,2001,20,74,18,55,67.46,69,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,70,Emi,Takashiba,CAN,2004,21,65,17+,69,68.49,70,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,71,NUR,KHALISHAH,INA,2004,21,65,16,73,70.44,71,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,72,YAJUN,HUANG,CHN,2005,20+,71,17+,69,70.74,72,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,73,Elizabeth,Sepulveda,PUR,2002,20+,71,16+,72,72,73,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,74,Bianca,Magalhaes de Castro ,BRA,1988,20+,71,15+,75,73.73,74,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,75,Emily,Scott,AUS,2006,14+,77,16,73,75.23,75,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,76,FADYA DEVI,MONICA,INA,2005,13+,78,15+,75,76.74,76,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,77,NUR DIATUL,JANNAH,INA,2004,17,76,12+,78,77.24,77,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,78,María Fernanda,Hidalgo Amezquita,MEX,2001,19,75,9+,80,77.7,78,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,79,Phoebe,Kenderdine,NZL,2003,10+,80,13+,77,78.49,79,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,80,Wai-mui,LING,HKG,2001,12+,79,12+,78,78.75,80,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,81,Alyssa,Meyer,RSA,2002,9+,81,9+,80,80.75,81,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,,Prateeksha,Arun,IND,1998,DNS,,DNS,,DNS,,,,,,,,,
Chamonix,FRA,2022,LS,WC,lead,Women,,Mariana,Hanggi Correia,BRA,2006,DNS,,DNS,,DNS,,,,,,,,,
Chamonix,FRA,2022,LS,WC,speed,Men,1,JINBAO,LONG,CHN,2000,,,,,5.21,4,,,5.33,5.07,5.05,,5.11,1
Chamonix,FRA,2022,LS,WC,speed,Men,2,Erik,Noya Cardona,ESP,1994,,,,,5.492,10,,,5.92,5.67,5.58,,5.49,2
Chamonix,FRA,2022,LS,WC,speed,Men,3,ASPAR,ASPAR,INA,1992,,,,,5.494,11,,,5.57,5.5,6.46,5.53,,3
Chamonix,FRA,2022,LS,WC,speed,Men,4,VEDDRIQ,LEONARDO,INA,1997,,,,,5.34,8,,,WILDCARD,5.31,FALL,6.59,,4
Chamonix,FRA,2022,LS,WC,speed,Men,5,LIANG,ZHANG,CHN,2003,,,,,5.15,2,,,5.23,FALL,,,,5
Chamonix,FRA,2022,LS,WC,speed,Men,6,LONG,CAO,CHN,2000,,,,,5.16,3,,,6.12,FALL,,,,6
Chamonix,FRA,2022,LS,WC,speed,Men,7,JIANGUO,LONG,CHN,2003,,,,,5.22,5,,,5.32,FALL,,,,7
Chamonix,FRA,2022,LS,WC,speed,Men,8,ALFIAN,MUHAMMAD FAJRI,INA,1997,,,,,5.611,16,,,5.65,5.36,,,,8
Chamonix,FRA,2022,LS,WC,speed,Men,9,KIROMAL,KATIBIN,INA,2000,,,,,5.00 (WR) (AsR),1,,,5.89,,,,,9
Chamonix,FRA,2022,LS,WC,speed,Men,10,Reza,Alipour Shenazandifard,IRI,1994,,,,,5.28,6,,,5.61,,,,,10
Chamonix,FRA,2022,LS,WC,speed,Men,11,John,Brosler,USA,1997,,,,,5.31,7,,,7.27,,,,,11
Chamonix,FRA,2022,LS,WC,speed,Men,12,ZAENAL,ARIPIN,INA,1992,,,,,5.45,9,,,FALSE START,,,,,12
Chamonix,FRA,2022,LS,WC,speed,Men,13,Amir,Maimuratov,KAZ,1995,,,,,5.5,12,,,5.54,,,,,13
Chamonix,FRA,2022,LS,WC,speed,Men,14,Noah,Bratschi,USA,2000,,,,,5.57,13,,,5.64,,,,,14
Chamonix,FRA,2022,LS,WC,speed,Men,15,Ludovico,Fossali,ITA,1997,,,,,5.583,14,,,FALL,,,,,15
Chamonix,FRA,2022,LS,WC,speed,Men,16,Ryo,OMASA,JPN,2002,,,,,5.585,15,,,5.8,,,,,16
Chamonix,FRA,2022,LS,WC,speed,Men,17,Rishat,Khaibullin,KAZ,1995,,,,,5.619,17,,,,,,,,
Chamonix,FRA,2022,LS,WC,speed,Men,18,Sebastian,Lucke,GER,2002,,,,,5.64,18,,,,,,,,
