discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
boulder;Men;69;Julien;Clémence;SUI;2001;1T2z 7 5;69;;;;
boulder;Men;71;Nimród Sebestyén;Tusnády ;HUN;2004;1T2z 4 13;71;;;;
boulder;Men;71;Yan;Jakob;SUI;2004;1T2z 8 8;71;;;;
boulder;Men;73;Gergő;Vályi ;HUN;2004;1T1z 6 4;73;;;;
boulder;Men;73;Marcello;Bombardi;ITA;1993;1T2z 5 9;73;;;;
boulder;Men;75;Nikolay;Rusev;BUL;2006;0T4z 0 24;75;;;;
boulder;Men;75;Louis;Guignard;SUI;2004;1T2z 8 9;75;;;;
boulder;Men;77;Filip;Schenk;ITA;2000;0T4z 0 10;77;;;;
boulder;Men;77;Philipp;Geisenhoff;SUI;2000;0T3z 0 10;77;;;;
boulder;Men;77;Lasse;von Freier;GER;2002;0T4z 0 10;77;;;;
boulder;Men;80;Alberto;Ginés López;ESP;2002;0T2z 0 6;80;;;;
boulder;Men;81;Theis Lindegren;Elfenbein;DEN;1997;0T2z 0 12;81;;;;
boulder;Men;81;Lucas;Uchida;CAN;1998;0T3z 0 7;81;;;;
boulder;Men;83;Attila Zsombor;Radics;HUN;2004;0T3z 0 14;83;;;;
boulder;Men;83;Martin;Stranik;CZE;1990;0T2z 0 13;83;;;;
boulder;Men;85;Fedir;Samoilov;UKR;1997;0T3z 0 31;85;;;;
boulder;Men;85;Zach;Richardson;CAN;2001;0T2z 0 18;85;;;;
boulder;Men;87;Fredrik;Serlachius;SWE;1998;0T2z 0 22;87;;;;
boulder;Men;87;Jonas;Utelli;SUI;2003;0T2z 0 3;87;;;;
boulder;Men;89;Alejandro;Crespo Cobos;ESP;1998;0T1z 0 1;89;;;;
boulder;Men;89;Olaf;Malinowski;POL;2001;0T2z 0 7;89;;;;
boulder;Men;89;Vivian;Fumeaux;SUI;2003;0T2z 0 7;89;;;;
boulder;Men;92;Michael;O'Neill;IRL;2000;0T1z 0 3;92;;;;
boulder;Men;92;Felipe ;Ho Foganholo;BRA;1999;0T1z 0 3;92;;;;
boulder;Men;94;Leto;Cavé;NED;2002;0T2z 0 9;94;;;;
boulder;Men;94;Jakub;Zietek;POL;2002;0T2z 0 9;94;;;;
boulder;Men;96;Sergii;Topishko;UKR;1988;0T1z 0 5;96;;;;
boulder;Men;96;Hossein;Familrohani;IRI;1992;0T1z 0 5;96;;;;
boulder;Men;98;Axel;Lindfors;FIN;1991;0T2z 0 11;98;;;;
boulder;Men;99;Emil;Abrahamsson;SWE;1996;0T2z 0 14;99;;;;
boulder;Men;99;Dominic;Burns;IRL;1997;0T0z 0 0;99;;;;
boulder;Men;99;Joshua;Bruyns;RSA;2003;0T0z 0 0;99;;;;
