discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
boulder;Men;51;Kento;YAMAGUCHI;JPN;2002;1T4z 1 7;51;;;;
boulder;Men;51;Marcello;Bombardi;ITA;1993;0T3z 0 3;51;;;;
boulder;Men;53;Ross;Fulkerson;USA;2001;1T4z 1 9;53;;;;
boulder;Men;53;William;Ridal;GBR;1997;0T3z 0 4;53;;;;
boulder;Men;55;Hannes;Puman;SWE;1997;1T4z 4 11;55;;;;
boulder;Men;55;Emil;Abrahamsson;SWE;1996;0T3z 0 8;55;;;;
boulder;Men;57;Oscar;Baudrand;CAN;2005;0T3z 0 13;57;;;;
boulder;Men;57;Amiad;Lipman;ISR;2001;1T3z 2 10;57;;;;
boulder;Men;59;MINYOUNG;LEE;KOR;1999;0T3z 0 16;59;;;;
boulder;Men;59;Chi-fung;AU;HKG;1995;1T3z 3 10;59;;;;
boulder;Men;61;Jesse;Grupper;USA;1997;1T3z 3 11;61;;;;
boulder;Men;61;Alejandro;Crespo Cobos;ESP;1998;0T2z 0 3;61;;;;
boulder;Men;63;Fedir;Samoilov;UKR;1997;1T3z 4 6;63;;;;
boulder;Men;63;Michael;O'Neill;IRL;2000;0T2z 0 4;63;;;;
boulder;Men;65;Guy;McNamee;CAN;2002;1T3z 7 8;65;;;;
boulder;Men;65;Hannes;Van Duysen;BEL;2004;0T2z 0 5;65;;;;
boulder;Men;67;Felipe ;Ho Foganholo;BRA;1999;1T3z 8 11;67;;;;
boulder;Men;67;Pietro;Vidi;ITA;2002;1T3z 8 11;67;;;;
boulder;Men;67;Mark;Scanlon;IRL;1999;0T2z 0 6;67;;;;
boulder;Men;70;Leonid;Osadchyi;UKR;2001;0T2z 0 8;70;;;;
boulder;Men;70;YONGCHEN;CHEN;CHN;2002;0T2z 0 8;70;;;;
boulder;Men;72;Sergii;Topishko;UKR;1988;1T1z 2 2;72;;;;
boulder;Men;73;Julien;Clémence;SUI;2001;0T5z 0 12;73;;;;
boulder;Men;73;Roman;Batsenko;UKR;1995;0T2z 0 9;73;;;;
boulder;Men;75;DOHYEON;KIM;KOR;2005;0T1z 0 1;75;;;;
boulder;Men;75;Ben;Abel;AUS;1998;0T1z 0 1;75;;;;
boulder;Men;75;Cheung-chi Shoji;Chan;HKG;1995;0T3z 0 12;75;;;;
boulder;Men;75;Ka-chun;Yau;HKG;1992;0T1z 0 1;75;;;;
boulder;Men;79;Anton Young Hong;Nielsen;DEN;2000;0T3z 0 13;79;;;;
boulder;Men;80;Theis Lindegren;Elfenbein;DEN;1997;0T3z 0 14;80;;;;
boulder;Men;81;Campbell;Harrison;AUS;1997;0T1z 0 3;81;;;;
boulder;Men;81;Axel;Lindfors;FIN;1991;0T2z 0 3;81;;;;
boulder;Men;83;Hossein;Familrohani;IRI;1992;0T2z 0 9;83;;;;
boulder;Men;83;Ethan;Hoffman;CAN;2003;0T1z 0 5;83;;;;
boulder;Men;85;Oleksii;Tytarenko;UKR;2004;0T1z 0 2;85;;;;
boulder;Men;85;Tsz-kiu;LAU;HKG;2004;0T1z 0 8;85;;;;
boulder;Men;87;Mateus;Rodrigues Bellotto;BRA;2003;0T1z 0 5;87;;;;
boulder;Men;87;Chase;Gatland;NZL;1992;0T1z 0 15;87;;;;
boulder;Men;89;Zach;Richardson;CAN;2001;0T0z 0 0;89;;;;
boulder;Men;89;Joris;Leipus;LTU;1999;0T0z 0 0;89;;;;
boulder;Men;89;Gustavo Gabriel;Suarez Munne;ARG;2000;0T0z 0 0;89;;;;
boulder;Men;89;Joaquin;Piriz;ARG;2001;0T0z 0 0;89;;;;
boulder;Men;89;Jim;Zeimes;LUX;2004;0T1z 0 6;89;;;;
