discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;26;Paolo ;Rivadeneira;ECU;2004;6.91;26;;;;;;;;
speed;Men;27;Nathaniel;Coleman;USA;1997;6.97;27;;;;;;;;
speed;Men;28;Nickolaie;RIVADENEIRA ;ECU;2001;7.09;28;;;;;;;;
speed;Men;29;Michael;Piccolruaz;ITA;1995;7.15;29;;;;;;;;
speed;Men;30;Caden;Reedy;USA;2005;7.26;30;;;;;;;;
speed;Men;31;Noah;Bratschi;USA;2000;7.36;31;;;;;;;;
speed;Men;32;Tobias;Plangger;AUT;2001;7.55;32;;;;;;;;
speed;Men;33;Sean;McColl;CAN;1987;7.81;33;;;;;;;;
speed;Men;34;Kai;Harada;JPN;1999;7.89;34;;;;;;;;
speed;Men;35;Munekazu;KITAMI;JPN;1992;8.06;35;;;;;;;;
speed;Men;36;Frederik;Viberg Christiansen;DEN;2001;9.58;36;;;;;;;;
speed;Men;37;Tomas;Chicaiza;ECU;2005;9.81;37;;;;;;;;
speed;Men;38;Tomoa;Narasaki;JPN;1996;FALSE START;38;;;;;;;;
speed;Women;1;Aleksandra;Miroslaw;POL;1994;7.20;1;;;7.83;7.59;7.40;;7.38;1
speed;Women;2;Emma;Hunt;USA;2003;7.52;2;;;7.61;7.62;7.77;;7.53;2
speed;Women;3;Miho;Nonaka;JPN;1997;8.58;11;;;8.50;8.20;8.36;8.95;;3
speed;Women;4;Patrycja;Chudziak;POL;1997;8.28;5;;;8.16;8.18;8.37;10.40;;4
speed;Women;5;Anouck;Jaubert;FRA;1994;8.49;9;;;8.16;7.78;;;;5
speed;Women;6;Natalia;Kalucka;POL;2001;7.68;3;;;9.59;8.48;;;;6
speed;Women;7;Alexandra;Elmer;AUT;1996;8.54;10;;;9.00;8.63;;;;7
speed;Women;8;Capucine;Viglione;FRA;2002;7.94;4;;;7.87;10.58;;;;8
speed;Women;9;Franziska;Ritter;GER;2003;8.33;6;;;8.52;;;;;9
speed;Women;10;Callie;Close;USA;2004;8.72;13;;;8.70;;;;;10
speed;Women;11;Tetiana;Kolkotina;UKR;1992;8.68;12;;;8.95;;;;;11
speed;Women;12;Brooke;Raboutou;USA;2001;9.36;16;;;9.55;;;;;12
speed;Women;13;Akiyo;Noguchi;JPN;1989;9.12;15;;;10.20;;;;;13
speed;Women;14;Kyra;Condie;USA;1996;8.43;8;;;10.82;;;;;14
speed;Women;15;Janja;Garnbret;SLO;1999;8.36;7;;;14.47;;;;;15
speed;Women;16;Laura;Stöckler;AUT;1999;8.77;14;;;14.94;;;;;16
speed;Women;17;Petra;Klingler;SUI;1992;9.42;17;;;;;;;;
speed;Women;18;Alejandra;Contreras;CHI;2000;9.76;18;;;;;;;;
speed;Women;19;Julia;Duffy;USA;2004;10.27;19;;;;;;;;
speed;Women;20;Isabel;Gifford;USA;1999;11.28;20;;;;;;;;
speed;Women;21;Laura;Rogora;ITA;2001;11.59;21;;;;;;;;
speed;Women;22;Erin;Sterkenburg;RSA;2003;12.04;22;;;;;;;;
speed;Women;23;Aurelia;Sarisson;FRA;1997;12.28;23;;;;;;;;
speed;Women;24;Gabrielle;Tourtellotte;USA;1996;FALL;24;;;;;;;;
boulder;Men;1;Sean;Bailey;USA;1996;4T5z 13 13;13;4T4z 13 12;2;;;;;2T4z 9 11;1
boulder;Men;2;Kokoro;Fujii;JPN;1992;5T5z 7 7;1;3T4z 7 7;5;;;;;1T4z 9 12;2
boulder;Men;3;Tomoa;Narasaki;JPN;1996;5T5z 8 6;2;4T4z 7 4;1;;;;;1T3z 1 3;3
boulder;Men;4;Yoshiyuki;Ogata;JPN;1998;4T4z 8 6;16;3T4z 4 4;4;;;;;0T2z 0 4;4
boulder;Men;5;Zach;Galla;USA;2000;4T5z 12 12;12;3T4z 3 9;3;;;;;0T1z 0 1;5
boulder;Men;6;Maximillian;Milne;GBR;2000;4T4z 11 9;18;3T4z 9 13;6;;;;;0T1z 0 2;6
boulder;Men;7;Manuel;Cornu;FRA;1993;3T5z 4 14;20;3T4z 9 15;7;;;;;;
boulder;Men;8;Alex;Waterhouse;GBR;1997;4T5z 6 13;7;2T4z 2 12;8;;;;;;
boulder;Men;9;Mejdi;Schalck;FRA;2004;4T5z 8 8;8;2T4z 3 9;9;;;;;;
boulder;Men;10;Nathaniel;Coleman;USA;1997;4T5z 9 9;11;2T4z 3 9;10;;;;;;
boulder;Men;11;Aleksey;Rubtsov;RUS;1988;3T5z 3 13;19;2T4z 3 10;11;;;;;;
boulder;Men;12;Simon;Lorenzi;BEL;1997;4T5z 5 6;6;2T4z 3 11;12;;;;;;
boulder;Men;13;Sohta;Amagasa;JPN;2000;5T5z 13 7;5;2T4z 4 6;13;;;;;;
boulder;Men;14;Alexander;Megos;GER;1993;4T5z 8 9;10;2T4z 4 9;14;;;;;;
