discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Women;42;Katherine;Choong;SUI;1992;16+;44;23+;29;37.65;42;;;;;;;;
lead;Women;43;Alejandra;Contreras;CHI;2000;19+;38;22+;36;38.23;43;;;;;;;;
lead;Women;44;Camilla;Bendazzoli;ITA;1997;19;42;21;43;43.0;44;;;;;;;;
lead;Women;45;Elizabeth;Sepulveda;PUR;2002;16+;44;20;46;45.5;45;;;;;;;;
lead;Women;46;Aleksandra;Kalucka;POL;2001;15+;47;20+;45;45.99;46;;;;;;;;
lead;Women;47;Edel;Lemvik;NOR;2004;16+;44;18+;48;46.48;47;;;;;;;;
lead;Women;48;Anouck;Jaubert;FRA;1994;13+;48;18;49;48.5;48;;;;;;;;
lead;Women;49;Bianka;Janecka;POL;2003;12;51;19+;47;48.96;49;;;;;;;;
lead;Women;50;SUKMA;LINTANG CAHYANI;INA;2004;13;49;17+;50;49.99;50;;;;;;;;
lead;Women;51;NURUL;AISYAH RAMADHANI SUAT;INA;2002;12+;50;16;53;51.48;51;;;;;;;;
lead;Women;52;ABDUL ROCHMAN;SYARIFAH;INA;1993;11+;52;17+;50;51.5;52;;;;;;;;
lead;Women;53;Tamara;Ulzhabayeva;KAZ;1987;"";;17+;50;51.99;53;;;;;;;;
lead;Women;;Heloïse;Doumont;BEL;1998;DNS;;DNS;;DNS;;;;;;;;;
speed;Men;1;VEDDRIQ;LEONARDO;INA;1997;;;;;5.52;2;;;5.50;5.42;5.35;;5.32;1
speed;Men;2;Dmitrii;Timofeev;RUS;1993;;;;;5.622;4;;;6.05;5.64;5.48;;7.35;2
speed;Men;3;KIROMAL;KATIBIN;INA;2000;;;;;5.48;1;;;5.35;5.31;6.07;5.30;;3
speed;Men;4;Vladislav;Deulin;RUS;1994;;;;;5.756;14;;;5.67;5.62;5.51;5.38;;4
speed;Men;5;Mehdi;Alipour Shenazandifard;IRI;1998;;;;;5.734;12;;;6.78;5.68;;;;5
speed;Men;6;Aleksandr;Shikov;RUS;1997;;;;;5.67;6;;;6.07;5.72;;;;6
speed;Men;7;ALFIAN;MUHAMMAD FAJRI;INA;1997;;;;;5.724;8;;;5.60;6.13;;;;7
speed;Men;8;Rishat;Khaibullin;KAZ;1995;;;;;5.728;10;;;5.53;7.73;;;;8
speed;Men;9;ASPAR;ASPAR;INA;1992;;;;;5.726;9;;;5.72;;;;;9
speed;Men;10;Sergei;Rukin;RUS;2000;;;;;5.77;16;;;5.78;;;;;10
speed;Men;11;Marcin;Dzienski;POL;1993;;;;;5.71;7;;;5.80;;;;;11
speed;Men;12;Reza;Alipour Shenazandifard;IRI;1994;;;;;5.54;3;;;5.81;;;;;12
speed;Men;13;John;Brosler;USA;1997;;;;;5.757;15;;;6.11;;;;;13
speed;Men;14;Noah;Bratschi;USA;2000;;;;;5.739;13;;;6.36;;;;;14
speed;Men;15;Lev;Rudatskiy;RUS;1998;;;;;5.625;5;;;7.91;;;;;15
speed;Men;16;Gian Luca;Zodda;ITA;1999;;;;;5.729;11;;;9.90;;;;;16
speed;Men;17;Arsenii;Bogomolov;RUS;1995;;;;;5.80;17;;;;;;;;
speed;Men;18;Pierre;Rebreyend;FRA;1997;;;;;5.81;18;;;;;;;;
speed;Men;19;ZAENAL;ARIPIN;INA;1992;;;;;5.82;19;;;;;;;;
