"country","Year","discipline","AthleteNo","CountryRankA","CountryRankW","CountryRankB"
"TUR",2021,"speed",2,46,47,44
"TWN",2021,"boulder",3,53,65,39
"TWN",2021,"combined",1,7,7,7
"TWN",2021,"lead",3,56,72,38
"TWN",2021,"speed",1,37,37,37
"TWN",2022,"boulder",1,48,57,39
"TWN",2022,"boulder&lead",3,29,36,25
"TWN",2022,"lead",2,55,83,19
"TWN",2022,"speed",2,32,35,29
"UKR",2021,"boulder",6,54,100,25
"UKR",2021,"combined",8,8,11,3
"UKR",2021,"lead",4,46,99,5
"UKR",2021,"speed",5,26,48,1
"UKR",2022,"boulder",5,61,119,14
"UKR",2022,"lead",3,55,91,16
"UKR",2022,"speed",2,27,48,14
"USA",2021,"boulder",17,26,69,1
"USA",2021,"lead",10,31,65,1
"USA",2021,"speed",11,23,61,2
"USA",2022,"boulder",15,28,99,1
"USA",2022,"boulder&lead",7,11,20,2
"USA",2022,"lead",9,26,81,1
"USA",2022,"speed",11,23,58,1
"ZAF",2021,"boulder",2,71,96,42
"ZAF",2021,"combined",1,14,14,14
"ZAF",2021,"lead",1,77,93,61
"ZAF",2021,"speed",1,43,62,22
"ZAF",2022,"boulder",2,74,99,33
"ZAF",2022,"lead",1,83,93,72
"ZAF",2022,"speed",1,38,57,28
